2026/08/15 02:55:27 [ACTION] APP_START - scanDOC TUI started
2026/08/15 02:55:29 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 02:55:29 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:55:30 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 02:55:32 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:33 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:33 [KEYPRESS] Key: 'left' | Screen: file_picker
2026/08/15 02:55:33 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:33 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:34 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:34 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:34 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:55:35 [KEYPRESS] Key: 'up' | Screen: file_picker
2026/08/15 02:55:35 [KEYPRESS] Key: '\' | Screen: file_picker
2026/08/15 02:55:36 [KEYPRESS] Key: 'enter' | Screen: file_picker
2026/08/15 02:55:37 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:55:37 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:55:37 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:55:37 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:55:38 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:11 [KEYPRESS] Key: 'left' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:12 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:13 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:13 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:13 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:13 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:13 [KEYPRESS] Key: 'up' | Screen: model_manager
2026/08/15 02:56:14 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:56:15 [KEYPRESS] Key: 'enter' | Screen: model_manager
2026/08/15 02:56:16 [KEYPRESS] Key: 'esc' | Screen: help
2026/08/15 02:58:15 [KEYPRESS] Key: 'esc' | Screen: home
2026/08/15 02:58:15 [ACTION] APP_EXIT - scanDOC TUI exited cleanly
